Voll,Demand_Segment,Cost_of_Demand_Curtailment_per_MW,Max_Demand_Curtailment,$/MWh,Rep_Periods,Timesteps_per_Rep_Period,Sub_Weights,Time_Index,Load_MW_z1,Load_MW_z2,Load_MW_z3,Load_MW_z4,Load_MW_z5,Load_MW_z6,Load_MW_z7,Load_MW_z8,Load_MW_z9,Load_MW_z10,Load_MW_z11,Load_MW_z12,Load_MW_z13,Load_MW_z14,Load_MW_z15,Load_MW_z16,Load_MW_z17,Load_MW_z18,Load_MW_z19,Load_MW_z20,Load_MW_z21,Load_MW_z22,Load_MW_z23,Load_MW_z24,Load_MW_z25,Load_MW_z26
,,,,,,,,61,24694.64881,21148.23164,32765.58367,45969.2419,50067.31934,43814.42792,23068.28862,33359.11404,52740.78205,47008.18909,21310.71733,17528.13336,24790.9709,24434.56404,71359.61631,74398.08749,22571.29502,15916.26476,10808.10803,24190.26259,50123.63881,47913.82178,55933.70011,26683.66509,74721.81843,3605.529955
,,,,,,,,62,24884.22957,21782.88914,33747.14751,45809.82839,49352.71712,43653.91346,23072.2998,33503.53013,53620.46379,47344.31305,21136.138,17416.78312,24673.61601,24553.91359,71513.09943,73979.78257,23130.13448,15902.22218,10831.1787,24419.91063,49508.82788,47762.34814,55708.02753,27308.31933,74559.35136,3601.518239
,,,,,,,,63,25293.48326,22492.74302,34850.02824,46875.59293,49962.93924,43480.3572,23134.47307,32889.76174,53184.13363,47732.61146,21322.75728,17556.22171,24590.36424,25154.6731,72665.72752,74417.14694,23996.98779,15670.51956,10790.05272,24153.15788,51284.05681,47838.58653,56482.33522,27891.86471,73473.22885,3545.354212
,,,,,,,,64,25546.2576,23017.11249,35665.15735,51698.10227,52345.61572,44629.0388,23965.78985,33357.10826,53606.42098,48332.6178,22122.41084,18134.03919,24858.17413,27199.66247,77493.92508,78526.96767,23995.98449,15725.68685,10981.6396,24329.65594,57758.12613,51139.90944,61585.54439,28308.96931,73883.40808,3571.430367
,,,,,,,,65,25629.51265,23217.63618,35974.96657,63075.61497,57704.12865,48145.30866,25893.16121,36232.39251,57772.12026,48043.65154,23519.04543,19123.15036,25970.53806,30298.73906,86332.74674,85295.08105,25199.94741,16796.93532,11912.49104,26003.37903,68380.414,58336.41219,71971.49782,28638.8429,78380.33634,3817.147986
,,,,,,,,66,26630.57928,23859.31201,36975.58017,75094.79211,65607.91015,53565.68128,29017.86941,40736.36933,64818.6017,49414.23459,25270.85863,20381.10717,28374.80886,33612.44425,97258.13623,94148.70023,28491.78272,18672.62319,13224.5101,28551.56978,75514.42718,66136.80324,83071.57957,30283.19756,85343.35438,4192.243453
,,,,,,,,67,29329.84814,25470.51991,39488.14299,75346.44488,70473.62858,55735.63612,28740.09529,45001.65845,71343.49305,54602.58373,26520.00378,21421.37926,29722.88561,31818.18923,92383.79342,90511.35339,32383.59289,20798.06843,14515.46462,31470.80758,69472.63112,64736.4244,81544.02698,33343.30149,94692.23156,4678.664045
,,,,,,,,68,33410.34821,27754.48481,43047.43987,67647.47414,69829.2822,50864.0223,25749.76157,44750.93607,65167.66583,63025.74967,25596.9407,20738.23047,27395.84837,28255.75556,84352.51363,81799.17544,36204.16859,19640.55837,13358.92183,31123.82844,59774.06406,57965.25161,71634.49344,37387.01025,95700.12917,4688.693335
,,,,,,,,69,35569.96391,31156.36932,48335.25162,60833.79981,70110.30555,46474.95507,23726.12193,39953.11262,56001.72314,68968.62184,25446.44128,20587.75717,26097.92329,27073.29236,81760.35437,78632.29625,31597.00378,17064.74744,11397.91476,27462.49652,55982.89721,52772.01287,64072.95767,38193.1451,85131.74603,4112.009128
,,,,,,,,70,31486.45462,28521.48795,44239.55367,55584.18257,44818.20477,44034.13208,21235.17996,38200.06174,52548.19495,61510.68349,20380.63093,16868.05715,25487.07601,24939.04156,70379.53133,71537.16273,25389.57158,16091.79705,10440.98343,26142.77238,50132.66539,49254.01243,57633.76685,33786.47513,80525.5035,3870.303226
